desciel,dh,dirvienc,dirvieng,dpt,dsem,hloc,hr,ides,idmun,lat,lon,nes,nhor,nmun,prec,probprec,raf,temp,velvien
Cielo nublado,6,Oeste,285.13,25.38,Lunes,20230417T02,73.34,20,75,16.3993,-94.4584,Oaxaca,114,Reforma de Pineda, 0.00,60.00,31.27,27.67,20.74
Medio nublado,6,Sur,177.31,15.11,Lunes,20230417T02,83.92,20,78,17.0083,-96.6186,Oaxaca,114,Rojas de Cuauhtémoc, 0.16,20.00, 8.72,16.30, 8.10
Medio nublado,6,Suroeste,240.29,15.26,Lunes,20230417T02,82.70,20,83,17.0117,-96.7114,Oaxaca,114,San Agustín de las Juntas, 0.14,80.00, 8.43,16.55, 7.80
Poco nuboso,6,Sur,195.28,14.41,Lunes,20230417T02,86.49,20,92,17.0709,-96.8252,Oaxaca,114,San Andrés Ixtlahuaca, 0.17,80.00, 7.90,15.39, 7.07
Cielo cubierto,6,Noreste,61.19,14.79,Lunes,20230417T02,85.94,20,96,17.4685,-97.2838,Oaxaca,114,San Andrés Sinaxtla, 1.10, 0.00,12.07,15.82, 9.28
Medio nublado,6,Este,93.45,16.88,Lunes,20230417T02,76.09,20,101,16.6001,-96.8577,Oaxaca,114,San Andrés Zabache, 0.04,95.00, 4.21,18.77, 4.14
Poco nuboso,6,Noreste,54.50,14.61,Lunes,20230417T02,83.90,20,106,17.7440,-97.5003,Oaxaca,114,San Antonio Acutla, 0.62, 0.00,13.70,15.80, 9.90
Medio nublado,6,Suroeste,239.45,15.58,Lunes,20230417T02,81.38,20,115,16.9583,-96.7077,Oaxaca,114,San Bartolo Coyotepec, 0.18,60.00, 7.71,16.99, 7.17
Medio nublado,6,Noreste,33.38,15.85,Lunes,20230417T02,82.95,20,118,16.9019,-96.5012,Oaxaca,114,San Bartolomé Quialana, 0.45, 0.00, 7.53,17.13, 6.82
Cielo cubierto,6,Noroeste,321.60,13.64,Lunes,20230417T02,97.70,20,120,17.2408,-96.2431,Oaxaca,114,San Bartolomé Zoogocho, 0.14, 0.00, 8.60,13.80, 5.50
Cielo nublado,6,Noreste,65.09,14.70,Lunes,20230417T02,87.93,20,129,17.7276,-97.3667,Oaxaca,114,San Cristóbal Suchixtlahuaca, 0.82, 0.00,12.84,15.57,10.24
Medio nublado,6,Sur,158.90,16.97,Lunes,20230417T02,77.25,20,132,16.7464,-96.6808,Oaxaca,114,San Dionisio Ocotlán, 0.46, 0.00, 4.72,18.75, 4.54
Cielo cubierto,6,Suroeste,226.91,14.16,Lunes,20230417T02,96.11,20,138,17.1721,-96.2515,Oaxaca,114,San Francisco Cajonos, 0.10, 0.00,11.68,14.43, 7.80
