ides,idmun,time,tmax,tmin
6.0,7.0,2023-04-12 12:00:00,31.67,19.06
6.0,7.0,2023-04-13 12:00:00,31.89,18.91
6.0,7.0,2023-04-14 12:00:00,32.345,19.18
6.0,7.0,2023-04-15 12:00:00,32.76,19.955
6.0,8.0,2023-04-12 12:00:00,31.88,15.54
6.0,8.0,2023-04-13 12:00:00,31.67,15.31
6.0,8.0,2023-04-14 12:00:00,31.885000000000005,15.745
6.0,8.0,2023-04-15 12:00:00,32.86,17.040000000000006
6.0,9.0,2023-04-12 12:00:00,31.96,20.37
6.0,9.0,2023-04-13 12:00:00,32.125,19.94
6.0,9.0,2023-04-14 12:00:00,32.364999999999995,19.955
6.0,9.0,2023-04-15 12:00:00,32.724999999999994,20.735
6.0,10.0,2023-04-12 12:00:00,33.1,16.67
6.0,10.0,2023-04-13 12:00:00,32.965,16.455
6.0,10.0,2023-04-14 12:00:00,33.28,16.895
6.0,10.0,2023-04-15 12:00:00,34.16,18.265
7.0,1.0,2023-04-12 12:00:00,29.85,17.9
7.0,1.0,2023-04-13 12:00:00,29.56,17.955
7.0,1.0,2023-04-14 12:00:00,29.345,18.15
7.0,1.0,2023-04-15 12:00:00,29.57,18.545
7.0,2.0,2023-04-12 12:00:00,32.46,18.45
7.0,2.0,2023-04-13 12:00:00,33.65000000000001,19.715
7.0,2.0,2023-04-14 12:00:00,35.875,21.08
7.0,2.0,2023-04-15 12:00:00,36.605,21.565
7.0,3.0,2023-04-12 12:00:00,33.48,22.49
7.0,3.0,2023-04-13 12:00:00,33.235,22.515
7.0,3.0,2023-04-14 12:00:00,33.02,22.76
7.0,3.0,2023-04-15 12:00:00,33.09,23.015
7.0,4.0,2023-04-12 12:00:00,22.31,14.15
7.0,4.0,2023-04-13 12:00:00,24.29,14.155
7.0,4.0,2023-04-14 12:00:00,27.625,14.62
7.0,4.0,2023-04-15 12:00:00,29.43,15.58
7.0,5.0,2023-04-12 12:00:00,26.34,18.24
7.0,5.0,2023-04-13 12:00:00,28.77,18.73
7.0,5.0,2023-04-14 12:00:00,32.745,19.68
7.0,5.0,2023-04-15 12:00:00,34.835,20.455
7.0,6.0,2023-04-12 12:00:00,22.42,12.58
7.0,6.0,2023-04-13 12:00:00,22.29,12.94
7.0,6.0,2023-04-14 12:00:00,23.4,13.56
7.0,6.0,2023-04-15 12:00:00,24.825000000000006,14.12
7.0,7.0,2023-04-12 12:00:00,21.46,10.98
7.0,7.0,2023-04-13 12:00:00,22.94,11.795
7.0,7.0,2023-04-14 12:00:00,25.00500000000001,12.935
7.0,7.0,2023-04-15 12:00:00,26.1,13.85
7.0,8.0,2023-04-12 12:00:00,29.1,15.63
7.0,8.0,2023-04-13 12:00:00,29.945,16.255
7.0,8.0,2023-04-14 12:00:00,30.635,17.04
7.0,8.0,2023-04-15 12:00:00,30.76,17.42
7.0,9.0,2023-04-12 12:00:00,35.44,23.79
7.0,9.0,2023-04-13 12:00:00,35.17,24.22
7.0,9.0,2023-04-14 12:00:00,34.765,24.87
7.0,9.0,2023-04-15 12:00:00,34.585,24.975
7.0,10.0,2023-04-12 12:00:00,20.02,11.84
7.0,10.0,2023-04-13 12:00:00,20.285,12.115
7.0,10.0,2023-04-14 12:00:00,21.565,12.645
7.0,10.0,2023-04-15 12:00:00,22.575,13.185
7.0,11.0,2023-04-12 12:00:00,24.14,13.16
7.0,11.0,2023-04-13 12:00:00,24.13000000000001,13.65
7.0,11.0,2023-04-14 12:00:00,24.85,14.43
7.0,11.0,2023-04-15 12:00:00,25.915,15.02
7.0,12.0,2023-04-12 12:00:00,28.24,17.03
7.0,12.0,2023-04-13 12:00:00,31.235,18.365
7.0,12.0,2023-04-14 12:00:00,35.185,19.54
7.0,12.0,2023-04-15 12:00:00,36.435,19.765
7.0,13.0,2023-04-12 12:00:00,24.78,14.69
7.0,13.0,2023-04-13 12:00:00,27.43,15.739999999999998
7.0,13.0,2023-04-14 12:00:00,30.45,16.82
7.0,13.0,2023-04-15 12:00:00,31.515,17.355
7.0,14.0,2023-04-12 12:00:00,23.3,13.95
7.0,14.0,2023-04-13 12:00:00,25.905,14.66
7.0,14.0,2023-04-14 12:00:00,29.605,15.71
7.0,14.0,2023-04-15 12:00:00,31.13,16.5
7.0,15.0,2023-04-12 12:00:00,23.83,17.8
7.0,15.0,2023-04-13 12:00:00,23.775,17.66
7.0,15.0,2023-04-14 12:00:00,23.915,17.560000000000002
7.0,15.0,2023-04-15 12:00:00,24.395,17.735
7.0,16.0,2023-04-12 12:00:00,28.71,19.57
7.0,16.0,2023-04-13 12:00:00,31.24,20.275
7.0,16.0,2023-04-14 12:00:00,36.185,22.00500000000001
7.0,16.0,2023-04-15 12:00:00,38.24500000000001,23.15
7.0,17.0,2023-04-12 12:00:00,31.61,19.4
7.0,17.0,2023-04-13 12:00:00,33.4,20.215
7.0,17.0,2023-04-14 12:00:00,35.51,21.1
