cc,desciel,dh,dirvienc,dirvieng,dloc,ides,idmun,lat,lon,ndia,nes,nmun,prec,probprec,raf,tmax,tmin,velvien
33.77,Medio nublado,6,Suroeste,206.3,20230415T12,20,238,16.6565,-96.729,3,Oaxaca,San Martín de los Cansecos,1.13,20.0,21.66,32.08,17.85,6.45
54.16,Cielo nublado,6,Suroeste,204.23,20230412T12,20,241,16.6109,-96.8494,0,Oaxaca,San Martín Lachilá,6.88,95.0,14.48,29.2,14.89,5.03
41.33,Medio nublado,6,Suroeste,217.58,20230413T12,20,241,16.6109,-96.8494,1,Oaxaca,San Martín Lachilá,3.99,95.0,22.26,29.28,15.48,7.19
21.09,Poco nuboso,6,Suroeste,225.03,20230414T12,20,241,16.6109,-96.8494,2,Oaxaca,San Martín Lachilá,1.15,95.0,19.29,30.97,16.78,6.57
33.56,Medio nublado,6,Sur,201.84,20230415T12,20,241,16.6109,-96.8494,3,Oaxaca,San Martín Lachilá,0.67,0.0,21.22,31.65,17.53,6.37
85.45,Cielo cubierto,6,Sureste,125.54,20230412T12,20,249,18.1437,-96.8684,0,Oaxaca,San Mateo Yoloxochitlán,2.93,95.0,13.47,22.44,15.54,5.27
58.38,Cielo nublado,6,Sur,161.42,20230413T12,20,249,18.1437,-96.8684,1,Oaxaca,San Mateo Yoloxochitlán,4.28,95.0,13.36,28.88,17.21,6.6
23.6,Poco nuboso,6,Sureste,156.49,20230414T12,20,249,18.1437,-96.8684,2,Oaxaca,San Mateo Yoloxochitlán,0.42,95.0,11.71,32.13,19.38,6.25
29.63,Medio nublado,6,Sureste,153.38,20230415T12,20,249,18.1437,-96.8684,3,Oaxaca,San Mateo Yoloxochitlán,3.36,95.0,14.52,32.4,17.97,6.0
77.32,Cielo nublado,6,Sureste,140.41,20230412T12,20,250,17.4148,-97.2717,0,Oaxaca,San Mateo Etlatongo,3.26,95.0,17.51,27.41,13.29,6.48
55.58,Cielo nublado,6,Suroeste,212.47,20230413T12,20,250,17.4148,-97.2717,1,Oaxaca,San Mateo Etlatongo,2.71,95.0,22.74,27.82,12.42,7.6
32.18,Medio nublado,6,Suroeste,203.17,20230414T12,20,250,17.4148,-97.2717,2,Oaxaca,San Mateo Etlatongo,0.95,20.0,18.86,30.66,14.56,6.57
51.29,Cielo nublado,6,Sureste,142.87,20230415T12,20,250,17.4148,-97.2717,3,Oaxaca,San Mateo Etlatongo,0.52,20.0,19.7,30.87,14.62,6.24
68.09,Cielo nublado,6,Este,106.1,20230412T12,20,267,17.3217,-96.5692,0,Oaxaca,San Miguel del Río,8.4,95.0,15.32,22.14,11.48,5.61
66.59,Cielo nublado,6,Sur,197.15,20230413T12,20,267,17.3217,-96.5692,1,Oaxaca,San Miguel del Río,7.38,95.0,10.7,22.8,12.5,5.16
50.82,Cielo nublado,6,Sur,183.73,20230414T12,20,267,17.3217,-96.5692,2,Oaxaca,San Miguel del Río,3.38,95.0,13.62,25.58,13.46,5.14
67.15,Cielo nublado,6,Sur,159.0,20230415T12,20,267,17.3217,-96.5692,3,Oaxaca,San Miguel del Río,15.04,95.0,16.0,25.98,12.65,4.25
56.31,Cielo nublado,6,Sur,185.14,20230412T12,20,268,16.5804,-96.7394,0,Oaxaca,San Miguel Ejutla,10.47,95.0,13.58,29.47,15.58,4.97
45.16,Medio nublado,6,Suroeste,207.39,20230413T12,20,268,16.5804,-96.7394,1,Oaxaca,San Miguel Ejutla,4.38,95.0,23.45,29.79,16.11,7.09
19.63,Poco nuboso,6,Suroeste,215.63,20230414T12,20,268,16.5804,-96.7394,2,Oaxaca,San Miguel Ejutla,0.87,95.0,21.44,31.67,17.58,6.6
32.74,Medio nublado,6,Suroeste,205.73,20230415T12,20,268,16.5804,-96.7394,3,Oaxaca,San Miguel Ejutla,0.91,0.0,22.4,32.05,17.97,6.44
34.73,Medio nublado,6,Suroeste,208.15,20230412T12,20,290,17.7829,-98.1426,0,Oaxaca,San Nicolás Hidalgo,1.91,95.0,22.54,34.09,18.55,7.67
48.63,Medio nublado,6,Suroeste,206.56,20230413T12,20,290,17.7829,-98.1426,1,Oaxaca,San Nicolás Hidalgo,0.1,0.0,24.68,34.5,18.21,9.22
2.08,Despejado,6,Suroeste,224.3,20230414T12,20,290,17.7829,-98.1426,2,Oaxaca,San Nicolás Hidalgo,0.0,0.0,17.81,35.13,19.22,7.81
24.9,Poco nuboso,6,Suroeste,218.41,20230415T12,20,290,17.7829,-98.1426,3,Oaxaca,San Nicolás Hidalgo,0.0,0.0,19.81,36.32,20.31,8.31
64.75,Cielo nublado,6,Suroeste,210.3,20230412T12,20,295,16.8267,-96.781,0,Oaxaca,San Pablo Huixtepec,9.62,95.0,15.96,28.73,14.82,5.27
53.29,Cielo nublado,6,Suroeste,215.33,20230413T12,20,295,16.8267,-96.781,1,Oaxaca,San Pablo Huixtepec,4.34,95.0,20.61,28.3,15.66,6.29
25.76,Medio nublado,6,Sur,198.95,20230414T12,20,295,16.8267,-96.781,2,Oaxaca,San Pablo Huixtepec,2.32,95.0,20.24,31.16,17.26,5.67
40.51,Medio nublado,6,Sur,202.48,20230415T12,20,295,16.8267,-96.781,3,Oaxaca,San Pablo Huixtepec,1.44,95.0,17.27,31.59,17.19,6.44
76.98,Cielo nublado,6,Este,94.87,20230412T12,20,299,17.1461,-96.2296,0,Oaxaca,San Pablo Yaganiza,5.75,95.0,10.93,21.51,13.82,5.77
67.64,Cielo nublado,6,Sur,169.94,20230413T12,20,299,17.1461,-96.2296,1,Oaxaca,San Pablo Yaganiza,14.07,95.0,12.97,25.81,15.04,6.86
33.69,Medio nublado,6,Sur,201.97,20230414T12,20,299,17.1461,-96.2296,2,Oaxaca,San Pablo Yaganiza,10.0,95.0,16.69,28.34,15.92,6.68
43.01,Medio nublado,6,Suroeste,210.08,20230415T12,20,299,17.1461,-96.2296,3,Oaxaca,San Pablo Yaganiza,21.46,95.0,19.32,28.17,14.98,7.21
63.95,Cielo nublado,6,Suroeste,208.24,20230412T12,20,301,16.7351,-96.726,0,Oaxaca,San Pedro Apóstol,11.74,95.0,16.2,28.9,15.2,5.04
53.75,Cielo nublado,6,Suroeste,210.6,20230413T12,20,301,16.7351,-96.726,1,Oaxaca,San Pedro Apóstol,3.66,95.0,20.1,28.9,16.1,5.95
19.43,Poco nuboso,6,Sur,197.84,20230414T12,20,301,16.7351,-96.726,2,Oaxaca,San Pedro Apóstol,2.48,95.0,21.2,32.1,17.7,5.35
36.73,Medio nublado,6,Suroeste,207.6,20230415T12,20,301,16.7351,-96.726,3,Oaxaca,San Pedro Apóstol,1.48,95.0,20.5,32.1,17.6,6.42
76.98,Cielo nublado,6,Este,94.87,20230412T12,20,303,17.1687,-96.2606,0,Oaxaca,San Pedro Cajonos,5.75,95.0,10.93,21.51,13.82,5.77
67.64,Cielo nublado,6,Sur,169.94,20230413T12,20,303,17.1687,-96.2606,1,Oaxaca,San Pedro Cajonos,14.07,95.0,12.97,25.81,15.04,6.86
33.69,Medio nublado,6,Sur,201.97,20230414T12,20,303,17.1687,-96.2606,2,Oaxaca,San Pedro Cajonos,10.0,95.0,16.69,28.34,15.92,6.68
