Cve_Ent,Cve_Mun,Value,tmax,tmin
7,72,841,25.009999999999998,15.07
7,72,841,29.020000000000003,15.725
7,72,841,30.465,16.345
7,73,308,23.15,14.84
7,73,308,25.735,15.64
7,73,308,29.34,16.47
7,73,308,30.485,16.915
7,74,296,30.9,22.2
7,74,296,32.739999999999995,23.049999999999997
7,74,296,36.81,24.595
7,74,296,39.435,25.295
7,75,235,23.85,13.57
7,75,235,25.135,14.600000000000001
7,75,235,27.6,15.870000000000001
7,75,235,29.130000000000003,16.65
7,76,174,24.34,15.98
7,76,174,27.045,16.450000000000003
7,76,174,31.35,17.48
7,76,174,33.06,18.395
7,77,383,28.72,18.69
7,77,383,31.195,19.825000000000003
7,77,383,36.005,21.555
7,77,383,38.205,22.244999999999997
7,78,90,21.28,11.87
7,78,90,23.245,12.629999999999999
7,78,90,25.66,13.835
7,78,90,26.65,14.985
7,79,240,27.65,16.69
7,79,240,30.669999999999998,17.975
7,79,240,34.565,19.11
7,79,240,35.730000000000004,19.43
7,80,287,22.65,12.17
7,80,287,22.805,12.55
7,80,287,23.365000000000002,13.215
7,80,287,23.77,13.82
7,81,789,22.62,13.38
7,81,789,25.28,14.0
7,81,789,29.175,15.12
7,81,789,30.65,16.12
7,82,138,24.21,12.47
7,82,138,26.215,13.205
7,82,138,29.34,14.715
7,82,138,30.775,15.995000000000001
7,83,565,27.34,16.71
7,83,565,28.39,17.42
7,83,565,30.6,18.445
7,83,565,31.884999999999998,19.265
7,84,200,25.2,17.12
7,84,200,27.305,17.995
7,84,200,30.825000000000003,19.16
7,84,200,32.56,19.634999999999998
7,85,987,26.15,15.43
7,85,987,28.869999999999997,16.605
7,85,987,31.815,17.755000000000003
7,85,987,32.64,18.255000000000003
7,86,378,32.01,18.12
7,86,378,34.4,19.47
7,86,378,37.07,20.89
7,86,378,37.485,21.450000000000003
7,87,903,32.52,25.82
7,87,903,32.575,25.825
7,87,903,32.625,25.895
7,87,903,32.495,25.884999999999998
7,88,763,28.74,20.72
7,88,763,30.174999999999997,21.785
7,88,763,33.15,23.43
7,88,763,35.26,23.815
7,89,437,29.63,22.4
7,89,437,29.47,22.27
7,89,437,29.52,22.225
7,89,437,29.880000000000003,22.325
7,90,589,24.16,16.19
7,90,589,26.685000000000002,17.23
7,90,589,30.445,18.134999999999998
7,90,589,31.78,18.525
7,91,280,22.1,14.6
7,91,280,24.8,15.600000000000001
7,91,280,28.8,16.35
7,91,280,30.1,16.8
7,92,170,28.69,20.14
7,92,170,31.055,21.255000000000003
7,92,170,35.55,22.64
7,92,170,37.855000000000004,22.83
7,93,445,18.79,9.27
7,93,445,21.32,9.985
7,93,445,24.385,11.105
7,93,445,25.195,12.120000000000001
7,94,166,22.22,12.34
7,94,166,23.705,13.14
7,94,166,25.84,14.370000000000001
7,94,166,27.134999999999998,15.465
7,96,678,25.58,16.86
7,96,678,28.36,17.695
7,96,678,33.004999999999995,19.115000000000002
7,96,678,34.97,19.945
7,97,994,34.05,23.44
7,97,994,33.48,23.84
7,97,994,33.15,24.405
7,97,994,33.465,24.560000000000002
7,98,662,27.74,16.4
7,98,662,29.015,17.465
7,98,662,31.555,19.065
7,98,662,33.1,20.295
7,99,137,26.28,15.77
7,99,137,27.19,16.36
7,99,137,29.43,17.03
7,99,137,31.065,17.575
7,100,171,25.14,16.4
7,100,171,27.89,17.185
7,100,171,32.615,18.77
7,100,171,34.505,19.835
7,101,262,30.33,17.37
